competitor_name,website,founded,hq_location,employees,est_annual_revenue_usd,funding_status,ceo,regions_present,setup_fee_range_usd,monthly_fee_range_usd,revenue_share_pct,pricing_transparency,total_clients,notable_clients,sources
SOFTSWISS,softswiss.com,2008,"Malta, Poland, Georgia, Curacao",~1600-2000+,~$420M,"Private, bootstrapped",Ivan Montik (founder),"CIS, Europe, LatAm, Africa",~$30000-$80000,~$5000-$20000,10-15% NGR,Not public,1400+ brands,UNVERIFIED,"softswiss.com/about-us/; tracxn.com; craft.co/softswiss"
Slotegrator,slotegrator.pro,2012,"Limassol, Cyprus",~287-300,~$15M,"Private, self-funded",Marina Zirka (CEO),"CIS, Europe, LatAm, Africa, Asia, Oceania",UNVERIFIED,UNVERIFIED,UNVERIFIED,Not public,~300 clients; 650+ projects,UNVERIFIED,"slotegrator.pro/about-us.html; tracxn.com; rocketreach.co; owler.com"
BetConstruct,betconstruct.com,2003,"London, UK",~550 (BetConstruct) / 5000+ (SoftConstruct group),~$630M (LOW confidence),"Private (parent: SoftConstruct)",Vigen Badalyan (founder),"CIS, Asia, Europe, LatAm, Africa",From ~$43000 (EUR40K),UNVERIFIED,From ~15% NGR,Not public,630+ operator partners,"Vbet, Dafabet, Hollywoodbets, OlyBet, Betcris, Flutter","betconstruct.com; zoominfo.com; growjo.com; owler.com"
Digitain,digitain.com,1999,"Yerevan, Armenia; Malta",~1400-2000+,~$182M,"Private, bootstrapped",Vardges Vardanyan (founder),"CIS, Asia, Europe, LatAm",UNVERIFIED,UNVERIFIED,10-50% NGR (varies by scope),Not public,150+ partners,"AdmiralBet Serbia, Winmasters, 888 Romania","digitain.com; rocketreach.co; tracxn.com; zoominfo.com"
NuxGame,nuxgame.com,2018,"Curacao; Limassol, Cyprus",51-200,UNVERIFIED,"Private, bootstrapped",Daniel Heywood,"CIS, Europe, Asia",UNVERIFIED (under $120K all-in reported),UNVERIFIED,UNVERIFIED,Not public,80+ brands,UNVERIFIED,"nuxgame.com; prnewswire.com; whitelabelwonder.com; crunchbase.com"
GamingSoft,gamingsoft.com,2002 (disputed: 2008 and 2015 also cited),"Makati, Philippines; Malaysia",201-500,UNVERIFIED,"Private, bootstrapped",Henry Goh (co-founder & CEO),"Asia, Europe, LatAm, Africa",~$30000-$80000 (est.),~$5000-$15000 (est.),UNVERIFIED,Not public,1000+ operator accounts; 410+ partners,"7slots, 9crown, Betasia","gamingsoft.com; tracxn.com; igamingbusiness.com; zoominfo.com"
Uplatform,uplatform.com,2015,"Limassol, Cyprus",~200+,UNVERIFIED,"Private, bootstrapped",UNVERIFIED,"Asia, Europe, LatAm, Africa",UNVERIFIED (no upfront for qualified),UNVERIFIED,15-30% GGR,Not public,50+ clients,UNVERIFIED,"uplatform.com; yogonet.com; tracxn.com; cbinsights.com"
GammaStack,gammastack.com,2012,"Riga, Latvia; Indore, India",500+,UNVERIFIED,"Private, bootstrapped",Dilip Chouhan (co-founder),"Asia, Europe, LatAm, North America",Zero GGR / fixed fee,UNVERIFIED,0% (zero rev-share model),Not public,600+ deployments,UNVERIFIED,"gammastack.com; tracxn.com; zoominfo.com; betting.net"
EveryMatrix,everymatrix.com,2008,"Sliema, Malta",~1311 (Q1 2025),~$240M (annualized Q1 2025 net revenue),"Private (Series A $4.7M, 2017)",Ebbe Groes & Jonas Groes (co-CEOs),"Europe, North America, LatAm, Africa",UNVERIFIED,UNVERIFIED,~93% of revenue is rev-share,Not public,300+ clients,"bet365, Norsk Tipping, OPAP, Veikkaus, Flutter, Tipico","everymatrix.com; everymatrix.com/wp-content/uploads/2025/04/EveryMatrix-Q1-2025-Presentation.pdf; tracxn.com"
ProgressPlay,progressplay.com,2012,"Valletta, Malta",~50-200,UNVERIFIED,"Private, bootstrapped",Itai Loewenstein,"Europe",UNVERIFIED,UNVERIFIED,UNVERIFIED (rev-share likely 15-35%),Not public,130+ brands,"FruityKing, BritainBet, BetStorm","progressplay.com; gamblingcommission.gov.uk/public-register/business/detail/39335; sbcnews.co.uk"
White Hat Gaming,whitehatgaming.com,2012,"Mosta, Malta",~500-600,~$51-75M,"Private, bootstrapped",Max Wright (founder),"Europe, North America",UNVERIFIED,UNVERIFIED,UNVERIFIED,Not public,30+ B2B clients; 40+ brands,"Bally's, Choctaw Nation, Desert Diamond","whitehatgaming.com; gamblingcommission.gov.uk/public-register/business/detail/52894; igamingx.com"
Pronet Gaming,pronetgaming.com,1996 (relaunched 2019 as B2B),"London, UK",~96,~$3.5-7.8M,"Private, bootstrapped",Alex Leese,"Europe, Asia, Africa, LatAm",UNVERIFIED,UNVERIFIED,UNVERIFIED,Not public,UNVERIFIED (active in 40+ countries),UNVERIFIED,"pronetgaming.com; getlatka.com; rocketreach.co; gamblinginsider.com"
Caleta Gaming,caletagaming.com,2013,"Florianopolis, Brazil",~50-100,UNVERIFIED,"Seed (Yolo Investments)",Fabiola Jaeger (co-founder & CEO),"LatAm, Europe",N/A,N/A,~10-20% GGR on game content (est.),Not public,280+ partners/casino brands,Light & Wonder (distribution deal),"caletagaming.com; next.io; tracxn.com; pitchbook.com"
