competitor_name,date,headline,source,category,summary,sentiment,source_url
SOFTSWISS,2025-12,45% game portfolio growth and LatAm expansion in 2025,Yogonet,expansion,"Game Aggregator grew from ~27K to 40K+ titles; Brazil certified; Turfsport acquired for South Africa entry",positive,https://www.yogonet.com/international/news/2025/12/22/116912
SOFTSWISS,2025-12,Rubens Barrichello partnership renewed for LatAm,SOFTSWISS News,partnership,"F1 legend continues as Non-Executive Director for Latin America into 2026",positive,https://www.softswiss.com/news/2025-overview/
SOFTSWISS,2025-11,iGaming Trends Marathon launched at SiGMA CEE,SiGMA,product_launch,"First-ever live conference event for 4th edition of iGaming Trends Report with 50+ experts",positive,https://www.softswiss.com/news/2025-overview/
SOFTSWISS,2025-09,Google partnership strengthened,SOFTSWISS News,partnership,"Deepened collaboration with Google for iGaming growth",positive,https://www.softswiss.com/news/2025-overview/
SOFTSWISS,2025-05,Affilka surpasses 500K affiliate accounts,Yogonet,product_launch,"Affilka reaches 500K+ affiliate accounts and 122M registered players; 44 new brands in Q1",positive,https://www.yogonet.com/international/news/2025/05/09/104136
SOFTSWISS,2026-02,Casino Platform marks 13 years,Yogonet,product_launch,"Announced new operator tools and continued global expansion",positive,https://www.yogonet.com/international/news/2026/02/20/117671
SOFTSWISS,2026-01,Denis Romanovskiy appointed first CAIO,SOFTSWISS News,executive_move,"First Chief Artificial Intelligence Officer signals major AI investment",positive,https://www.softswiss.com/news/softswiss-strategic-vision-2026/
SOFTSWISS,2026-01,Best iGaming Platform Supplier in Europe,European iGaming Awards,award,"Won top platform award at European iGaming Awards 2026",positive,UNVERIFIED
Slotegrator,2025-12,81% YoY GGR growth reported for 2025,NEXT.io,expansion,"GGR grew 81% YoY; total bets up 71%; 0.8% global GGR share; 217 new launches",positive,https://next.io/news/b2b-news/slotegrators-2025-the-year-in-numbers/
Slotegrator,2025-12,Balkans +168% and Africa +132% regional surges,Tribuna,expansion,"Regional demand surges across Balkans Africa Australia/Oceania and CEE",positive,https://tribuna.com/amp/en/casino/news/2025-12-17
Slotegrator,2025-11,Revamped platform unveiled at SiGMA Central Europe,Yogonet,product_launch,"New ESG partnerships and platform modernization showcased in Rome",positive,https://www.yogonet.com/international/news/2025/11/13/116289
Slotegrator,2025-01,Isle of Man online gambling licence obtained,Yogonet,regulatory,"Online Gambling Permit for Software Supply from Isle of Man GSC valid through Dec 2028",positive,https://www.yogonet.com/international/news/2024/01/25/70557
Slotegrator,2026-01,Casino Builder 2.0 and Moneygrator AI Bot launched at ICE 2026,AGB,product_launch,"Industry-first AI-powered payment assistant and no-code casino builder debuted",positive,https://agbrief.com/news/europe/28/01/2026/slotegrator-strengthens-rebranding-and-tech-strategy-at-ice-2026/
Slotegrator,2026-01,Major rebrand unveiled at ICE Barcelona 2026,Infoplay,rebrand,"Refreshed brand identity reflecting evolution from solutions provider to tech-driven partner",positive,https://www.infoplay.info/en/2026-01-15/slotegrator-to-shake-up-ice-2026/34377/new/
