competitor_name,jurisdiction,license_body,license_type,license_number,notes,sources
SOFTSWISS,Curacao,CGA,supported,,"Most popular entry point for clients; ~$14K first year",softswiss.com/licensing/
SOFTSWISS,Malta,MGA,supported,,"Gold standard EU license; SOFTSWISS supports operators",softswiss.com/licensing/
SOFTSWISS,Isle of Man,IOMGSC,supported,,"GBP5K application + GBP35K/year",softswiss.com/licensing/
SOFTSWISS,Kahnawake,KGC,supported,,One of oldest online gambling regulators,softswiss.com/licensing/
SOFTSWISS,Montenegro,,supported,,"All-in-one ~EUR22.5K setup + EUR15K renewal",softswiss.com/licensing/
SOFTSWISS,Brazil,SIGAP,own,,"Full certification obtained 2025 — major milestone",yogonet.com; softswiss.com
SOFTSWISS,South Africa,WCGRB,own,,Market entry via Turfsport acquisition,softswiss.com
Slotegrator,Isle of Man,IOMGSC,own,,"Online Gambling Permit valid Dec 2023 - Dec 2028",yogonet.com
Slotegrator,Anjouan,AOGA,own,,Obtained 2025,slotegrator.pro
Slotegrator,Curacao,CGA,supported,,"Most popular among clients; sublicensing being phased out",slotegrator.pro
Slotegrator,Malta,MGA,supported,,Second most requested jurisdiction,slotegrator.pro
Slotegrator,Kahnawake,KGC,supported,,Covered in multi-jurisdiction guide,slotegrator.pro
BetConstruct,United Kingdom,UKGC,own,,Full UK license,betconstruct.com/licenses-and-certificates
BetConstruct,Malta,MGA,own,,Primary EU license,betconstruct.com/licenses-and-certificates
BetConstruct,France,ARJEL,own,,,betconstruct.com/licenses-and-certificates
BetConstruct,Romania,ONJN,own,,,betconstruct.com/licenses-and-certificates
BetConstruct,Sweden,Spelinspektionen,own,,B2B Supplier license 2023,betconstruct.com/licenses-and-certificates
BetConstruct,Isle of Man,IOMGSC,own,,,betconstruct.com/licenses-and-certificates
BetConstruct,South Africa,NGB,own,,"Western Cape & Mpumalanga",betconstruct.com/licenses-and-certificates
BetConstruct,Denmark,Danish Gambling Authority,own,,Obtained 2023,betconstruct.com/licenses-and-certificates
BetConstruct,Germany,GGL,own,,Sports betting license 2023,betconstruct.com/licenses-and-certificates
