competitor_name,lead_magnets,seo_content_strategy,paid_ads_channels,events_conferences,affiliate_program,partnerships_strategy,social_media_presence,academy_education,other_channels,hiring_signals,sources
SOFTSWISS,"iGaming Trends Report (annual, gated, 50+ experts); iGaming Trends Marathon (live event); market entry guides; licensing cost calculators","Heavy blog: licensing guides (Malta, Curacao, Montenegro), cost breakdowns, market analysis, product comparisons; knowledge base section; SEO-optimized landing pages per product","LinkedIn Ads; trade media sponsorships; Google Ads (industry keywords)","ICE Barcelona (major booth); SiGMA (all editions); SBC Summit; 50+ events attended in 2025; hosted own iGaming Trends Marathon at SiGMA CEE 2025","Affilka — proprietary platform with 500K+ affiliate accounts and 122M registered players; industry-leading affiliate infrastructure","Google partnership (deepened 2025); Rubens Barrichello (Formula 1 legend, Non-Exec Director LatAm); Ously Games (investment); Turfsport acquisition (South Africa)","LinkedIn (primary; CEO Ivan Montik active); Twitter/X; YouTube; Instagram","Knowledge base on website; iGaming Trends Report doubles as educational content; webinar series","Telegram community; newsletter; industry speaker circuit","Hiring across Malta, Poland, Georgia; first CAIO appointed Jan 2026 (AI push); LatAm hiring expansion","softswiss.com; yogonet.com; softswiss.com/reports/igaming-trends/"
Slotegrator,"iGaming Trends Report (annual, 50+ experts); market analysis reports; licensing comparison guides; cost-of-entry guides; Casino Builder 2.0 demo","Blog with analytical articles: licensing guides per jurisdiction, turnkey vs white-label comparisons, market reports; SEO landing pages for each product; knowledge base","Trade media sponsorships; industry publication banners","ICE Barcelona 2025 (Stand 2H42); ICE 2026; SiGMA Eurasia; SiGMA Central Europe (Rome); multiple regional events","Partnergrator — in-house affiliate management tool with Post Affiliate Pro and NetRefer integrations","180+ game provider partnerships; 250+ payment processor partnerships; ESG partnerships announced at SiGMA CEE 2025","LinkedIn (primary); Twitter/X; YouTube; Telegram","Slotegrator Academy — webinars, educational content, trend reports, industry training; positioned as value-add beyond platform","Telegram Casino demo; newsletter; blog-driven SEO","Team expansion planned for 2026; ESG strategy team; regional hub hiring (LatAm, Africa)","slotegrator.pro; next.io; eegaming.org"
BetConstruct,"Product demo videos; case studies (Vbet, Top Sport); white papers; platform capability brochures","Blog with industry analysis; product-specific landing pages; iGaming guides; provider comparison content","LinkedIn Ads; Google Ads; trade media sponsorships; video content","ICE Barcelona (major presence); SiGMA (multiple editions); SBC Awards; Ortak x B.F.T.H. Arena Awards; IGA; 50% discount promotion tied to ICE 2026","Affigates — new affiliate ecosystem (launched June 2025); 4,500+ affiliates; 630+ operator partners; 30M+ players","Flutter Entertainment partnership (2024); Betradar; SoftConstruct group synergies; multiple game studio partnerships","LinkedIn (primary; CEO active); Twitter/X; YouTube; Instagram","Product webinars; BetConstruct AI thought leadership content; conference speaking slots","SpringBME marketplace; BetChain AI website builder demo; promotional pricing (50% setup discount Jan 2026)","Hiring across Malta, Romania, Philippines; AI team expansion; trading team in Manila","betconstruct.com; sbcamericas.com; eegaming.org"
Digitain,"Sportsbook performance case studies (Winmasters +50% GGR); market entry guides; regulatory analysis","Blog with regulatory news, market analysis, product deep-dives; knowledge base; licensing guides","LinkedIn Ads; trade media sponsorships","ICE Barcelona; SiGMA (Eurasia, South Asia, Americas); SBC Summit; IGA; 5 Star iGaming Media Awards; Starlet Awards","Partner management tools integrated in platform","European Lotteries Associate Membership (Sept 2025); Galaxsys game studio partnerships; Imagine Live studio collaborations","LinkedIn (primary); Twitter/X; Facebook","Webinars; conference speaking; thought leadership content via trade press interviews","Newsletter; industry awards circuit","Significant Malta + Romania hiring; UK market entry team (post-UKGC licence Feb 2026)","digitain.com; sbcnews.co.uk; gamblinginsider.com"
NuxGame,"Annual review report (2025 in Review); product demo environment; CMS walkthrough","Blog with guides: how to start a casino, licensing costs, Curacao vs MGA comparison, crypto casino guides; SEO-optimized product pages","Trade media sponsorships; PRNewswire press releases for product milestones","ICE Barcelona 2025 (Stand 2B48); ICE 2026 (Stand 1K40); SiGMA Eurasia; EiGE Awards; EGR Awards (shortlisted)","Built-in affiliate management and agent hierarchy tools in platform","Gamblers Connect partnership (Dec 2025); LSports (sportsbook data); multiple game studio partnerships (TaDa, Relax, Mancala)","LinkedIn (primary); Twitter/X; Telegram","Product tutorials; blog-based education","Telegram Casino as both product and marketing channel; Donut Miss Out marketing campaign (won EiGE Best Marketing)","Moderate hiring; focus on product engineering and integration teams","nuxgame.com; prnewswire.com; eegaming.org"
GamingSoft,"Mexico Market Report 2026 (co-authored with iGaming Business); AI White Label demo; platform overview brochure","Blog with cost guides (How Much Does Casino Software Cost), regulation guides, market reports; SEO for Asian casino keywords","Trade media sponsorships; iGaming Business co-marketing","ICE Barcelona 2026; SBC Summit Lisbon 2025; SiGMA Asia (3 consecutive Best Platform awards); regional Asian events","Not publicly disclosed","Hotdog Gaming (20% stake acquisition Aug 2025 for SE Asia); iGaming Business co-authorship; PGSoft and Evoplay activations","LinkedIn; Facebook; Instagram (stronger in Asia); Twitter/X","Product webinars; blog-based thought leadership","AI Chatbot and AI Voice demos; event roundup content marketing","SE Asia hiring (Philippines, Malaysia); AI team expansion","gamingsoft.com; igamingbusiness.com"
Uplatform,"Product showcase videos; conference-themed landing pages (Hold All the Aces, Wild Profits, Bloom Beyond Expectations)","Blog with operational guides: post-launch success factors, localization strategy articles; thought leadership pieces via Yogonet","Trade media sponsorships; industry publication content","ICE Barcelona (2025, 2026); iGB L!VE London; SBC Summit Lisbon; SBC Summit Americas (nominated Platform of the Year); SiGMA Central Europe","Agent and affiliate management tools in platform","Esports content partnerships; regional payment partnerships (550+ methods)","LinkedIn (primary); Instagram; Twitter/X","Conference-themed educational content; industry analysis posts","Creative conference branding (each event has unique theme and landing page); strong visual identity","LatAm and Africa team expansion; esports specialist hiring","uplatform.com; igamingfuture.com; yogonet.com"
GammaStack,"White papers on iGaming platform development; sweepstakes guides; licensing guides per jurisdiction","Blog with how-to guides: start betting business in Philippines, Thailand casino software, PAGCOR guidance; SEO for development-oriented keywords","Trade media; DesignRush profile (reviews questioned for authenticity)","SBC Lisbon 2025 (Booth C640, shortlisted 3 SBC Awards); ICE Barcelona 2026 (finalist Platform Provider of the Year); SiGMA Euro-Med","Not publicly disclosed","Trifecta Gaming (slot collaboration, won Best Slot Design 2025 at SiGMA); Scientific Games mentioned","LinkedIn; Twitter/X","Blog-based guides; licensing consultancy content","Zero-GGR pricing as marketing differentiator; code ownership messaging","New Riga office (Oct 2025); India development team expansion","gammastack.com; icegaming.com"
EveryMatrix,"Quarterly financial reports (publicly shared); case studies (bet365, Norsk Tipping); WLA Safer Gambling certification marketing","Blog with industry analysis; product-specific microsites (CasinoEngine, OddsMatrix, SlotMatrix); SEO for enterprise keywords","LinkedIn Ads; trade media sponsorships; conference sponsorships","ICE Barcelona (major sponsor); SBC Summit; SiGMA; G2E (US focus); industry speaking circuit; estimated 20+ events/year","PartnerMatrix — proprietary affiliate and agent management platform","bet365 (largest-ever content deal Sept 2025); FSB Technology acquisition (2024); Fantasma Games acquisition; Goma Gaming acquisition; Google; NASPL membership (US lottery push)","LinkedIn (primary; co-CEO Ebbe Groes very active); Twitter/X; YouTube","Thought leadership via trade press interviews; conference keynotes; quarterly reports as transparency play","Financial transparency as trust signal (publish revenue/EBITDA publicly); enterprise-focused webinars","Major hiring push (36% YoY growth to 1,400+); US market specialists; sports division expansion","everymatrix.com; sbcnews.co.uk; g3newswire.com"
ProgressPlay,"Responsible gambling case studies; Progress Learn platform marketing; compliance capability overview","Blog with industry insights; responsible gambling content; regulatory update posts","Trade media sponsorships","ICE Barcelona 2026 (Stand 2D12); SBC Summit 2025; SiGMA Europe 2025","Affiliate program integrated in platform (commission management tools)","Playtech partnership (MTS sportsbook, bingo network); neccton (responsible gambling); payment processor partnerships","LinkedIn (primary); Twitter/X","Progress Learn — dedicated digital training platform for responsible gambling and AML; positioned as compliance differentiator","Sweepstakes platform demos; standalone operator case studies","Compliance team expansion post-UKGC fine; responsible gambling team 24/7","progressplay.com; eegaming.org; igamingcapital.mt"
White Hat Gaming,"White Hat Studios game demos; platform capability presentations; US market case studies (Bally's, Choctaw)","Blog with US market analysis; product pages for PAM, cashier, studios; SEO for US iGaming keywords","LinkedIn Ads; US trade media","ICE Barcelona; SBC North America (won Platform Provider of the Year); EKG Slot Awards; G2E","Platform includes affiliate tracking capabilities","Kambi Group (sportsbook since 2018); Gaming Arts (US land-based distribution via OMNI platform May 2025); MIRACL (MFA security)","LinkedIn (primary); Twitter/X","White Hat Studios content showcases; US regulatory compliance education","AI-powered KYC partnership (Dec 2025); Kong franchise for 2026 content pipeline","US market expansion hiring; CFO Justin Psaila appointed (ex-GiG, ex-Betsson)","whitehatgaming.com; whitehatstudios.com; igamingtoday.com"
Pronet Gaming,"Platform capability brochures; sportsbook demo; regional case studies","Blog with emerging market analysis; conference preview/recap content; product feature articles","Trade media sponsorships (focused on emerging market publications)","ICE Barcelona 2026 (new website/brand launch); SiGMA South Asia; SPiCE Awards; IGA (shortlisted 8 categories 2025); Starlet Awards","Agent management system integrated in platform","Betradar (odds data); Claymore Solutions (Philippines SCBPO); regional operator partnerships in Africa and SE Asia","LinkedIn (primary); Twitter/X","Conference speaking; trade press interviews (CEO Alex Leese active in media)","Omni-channel retail demos; BetX Pro exchange product demo","Philippines team (IT + trading in Manila); SE Asian expansion hiring (15 new clients onboarding)","pronetgaming.com; eegaming.org; agbrief.com"
Caleta Gaming,"Game demo videos; portfolio showcase; GLI certification case study","Blog with game launch announcements; Brazilian market content; regulatory update posts","Minimal — focused on B2B trade press","ICE Barcelona; SiGMA (multiple editions); SAGSE; Brazilian gaming events","Not applicable — content supplier, not platform","Light & Wonder (global distribution deal Nov 2025); EveryMatrix; SoftSwiss; Pariplay; Salsa Technology; Groove Gaming; Slotegrator — multi-aggregator distribution strategy","LinkedIn (primary); Instagram","Game development showcases; Brazilian gaming culture content","Proprietary GP5 engine as technical differentiator; tropicalized content messaging","Brazil team expansion post-regulation; game certification team for Phase 2 GLI","caletagaming.com; igamingbusiness.com; next.io"
